"","measured_percentN","Measured_Chl","Wave_500","Wave_1600","Wave_2400"
"148",1.31,17.83,0.082014907,0.282601099,0.089719712
"149",1.52,14.46,0.08126987,0.281215382,0.086942202
"150",1.48,11.35,0.081237858,0.278224211,0.088052998
"151",1.26,10.44,0.084782862,0.27724658,0.087170245
"152",1.54,16.72,0.076408928,0.282742103,0.087522244
"153",1.51,12.57,0.083023856,0.283777085,0.093875399
"154",1.15,9.47,0.082916735,0.284025029,0.087085993
"155",1.38,10.59,0.073039686,0.269881648,0.079691961
"156",1.47,7.73,0.094812976,0.2728613,0.082340239
"157",1.24,9.86,0.085440911,0.276661625,0.084592901
"158",1.37,10.52,0.083325981,0.280849777,0.088169387
"159",1.21,12.33,0.084423813,0.281807173,0.0850729
"160",1.52,17.24,0.08310621,0.283277038,0.085871694
"161",1.69,15.71,0.071478197,0.275103893,0.081829195
"162",1.6,12.7,0.077416427,0.277685528,0.08777027
"163",1.42,11.94,0.07897432,0.282524751,0.090982057
"164",1.71,12.01,0.073203997,0.275068528,0.08054374
"165",1.89,9.71,0.069482212,0.275689283,0.086035761
"166",1.52,13.52,0.081565968,0.27866461,0.083850988
"167",1.44,10.05,0.081666412,0.283146212,0.090674219
